"time" "k1_ipm" "k2_ipm" "h1_average" "h2_average"
148800 7.75681184918796e-10 7.1511797655512e-10 -3.0673714 -3.1925413
148860 7.75067229689758e-10 7.14541891771782e-10 -3.0685605 -3.1937973
148920 7.7445363237377e-10 7.13966361349298e-10 -3.0697496 -3.1950534
148980 7.73840392974826e-10 7.13391384486583e-10 -3.0709387 -3.1963094
149040 7.73227934640516e-10 7.12701116667991e-10 -3.0721278 -3.1975654
149100 7.72615833172216e-10 7.12242910260141e-10 -3.0733168 -3.1988214
149160 7.72004299610293e-10 7.11669411758739e-10 -3.0745059 -3.2000774
149220 7.71646542809901e-10 7.11212051942639e-10 -3.0756949 -3.2013333
149280 7.71036235756487e-10 7.10639687502645e-10 -3.0768839 -3.2025893
149340 7.70173729230122e-10 7.09952306627795e-10 -3.0780728 -3.2038452
149400 7.69564458630247e-10 7.09380918166423e-10 -3.0792618 -3.2051011
149460 7.69208072841407e-10 7.08925443825601e-10 -3.0804507 -3.2063571
149520 7.68599603322045e-10 7.08470406023968e-10 -3.0816396 -3.2076129
149580 7.67991696845033e-10 7.07785292720372e-10 -3.0828285 -3.2088688
149640 7.67384561632746e-10 7.07215859969147e-10 -3.0840174 -3.2101247
149700 7.66777987381274e-10 7.06646884602312e-10 -3.0852062 -3.2113805
149760 7.6617176483297e-10 7.06078629463912e-10 -3.086395 -3.2126364
149820 7.65566310428606e-10 7.05625865334804e-10 -3.0875838 -3.2138922
149880 7.6496141465771e-10 7.05058378827864e-10 -3.0887726 -3.215148
149940 7.64356661353906e-10 7.04376597193107e-10 -3.0899614 -3.2164038
150000 7.64003741210345e-10 7.03925294939015e-10 -3.0911501 -3.2176596
150060 7.63399987655154e-10 7.03474336359477e-10 -3.0923389 -3.2189153
150120 7.62545747118159e-10 7.02794112731612e-10 -3.0935276 -3.2201711
150180 7.62194563300456e-10 7.02343863172411e-10 -3.0947163 -3.2214268
150240 7.61592683459955e-10 7.01779479139015e-10 -3.0959049 -3.2226825
150300 7.60740247505864e-10 7.01101123702792e-10 -3.0970936 -3.2239382
150360 7.60389966773295e-10 7.00652411782344e-10 -3.0982822 -3.2251939
